,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
358,1313,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Zhang, X.",
372,367,1,2.5174894811925328e-05,0.1045226458927908,0.0,4,21,0.1949579831932773,"Fu, S.",incoming
373,1219,1,2.5174894811925328e-05,0.1045226458927908,0.0,4,21,0.1949579831932773,"Wang, Q.",incoming
210,162,1,5.9034016166808775e-05,0.11722309478128276,0.0,5,21,0.1949579831932773,"Cao, N.",
359,182,3,1.9082748682544127e-05,0.10272749525487253,0.0,5,21,0.1949579831932773,"Chen, J.",incoming
360,184,1,1.9082748682544127e-05,0.10272749525487253,0.0,5,21,0.1949579831932773,"Chen, R.",incoming
361,254,1,1.9082748682544127e-05,0.10272749525487253,0.0,5,21,0.1949579831932773,"Deng, Z.",incoming
362,1239,1,1.9082748682544127e-05,0.10272749525487253,0.0,5,21,0.1949579831932773,"Weng, D.",incoming
363,1277,1,1.9082748682544127e-05,0.10272749525487253,0.0,5,21,0.1949579831932773,"Wu, F.",incoming
370,702,1,4.4239183635964644e-06,0.0922685447160039,0.0,5,21,0.1949579831932773,"Li, T.",incoming
381,663,1,2.6272796308905878e-05,0.10321498552571101,0.0,5,21,0.1949579831932773,"Lai, J.",incoming
382,979,1,2.6272796308905878e-05,0.10321498552571101,0.0,5,21,0.1949579831932773,"Rubab, S.",incoming
383,1142,1,2.6272796308905878e-05,0.10321498552571101,0.0,5,21,0.1949579831932773,"Tang, T.",incoming
384,1305,1,2.6272796308905878e-05,0.10321498552571101,0.0,5,21,0.1949579831932773,"Yu, L.",incoming
125,1295,1,0.00011417154846309767,0.11885361969627328,0.0,6,21,0.1949579831932773,"Yang, S.",incoming
126,1321,1,0.00011417154846309767,0.11885361969627328,0.0,6,21,0.1949579831932773,"Zhou, Z.",incoming
127,1323,1,0.00011417154846309767,0.11885361969627328,0.0,6,21,0.1949579831932773,"Zhu, M.",incoming
255,723,3,2.3122104766042665e-06,0.08238716819855307,0.0,6,21,0.1949579831932773,"Livnat, Y.",incoming
