,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
152,680,1,0.38922581886991015,0.08940300491955856,0.011344377528876882,14,6,0.22333333333333333,"Lee, B.",incoming
120,779,2,0.0010190149262722182,0.043018182283469604,0.0,4,7,0.3235294117647059,"Mehler, A.",outandin
121,67,2,0.0010190149262722182,0.043018182283469604,0.0,4,7,0.3235294117647059,"Bao, Y.",outandin
122,1221,1,0.0010190149262722182,0.043018182283469604,0.0,4,7,0.3235294117647059,"Wang, Y.",incoming
123,1068,2,0.0010190149262722182,0.043018182283469604,0.0,4,7,0.3235294117647059,"Skiena, S.",outandin
234,234,1,0.004065460809533649,0.050897750325491264,0.0,4,7,0.3235294117647059,"Cui, W.",incoming
296,1307,2,0.0017106003736471493,0.0429283739697254,0.0,4,7,0.3235294117647059,"Yuan, X.",incoming
297,444,2,0.0017106003736471493,0.0429283739697254,0.0,4,7,0.3235294117647059,"Guo, P.",outandin
298,1286,2,0.0017106003736471493,0.0429283739697254,0.0,4,7,0.3235294117647059,"Xiao, H.",outandin
19,1159,1,0.014324773905218559,0.059775264917146714,0.0,5,7,0.3235294117647059,"Thomas, J.",outgoing
21,350,2,0.014324773905218559,0.059775264917146714,0.0,5,7,0.3235294117647059,"Foote, H.",outgoing
22,743,2,0.014324773905218559,0.059775264917146714,0.0,5,7,0.3235294117647059,"Mackey, P.",outandin
24,892,2,0.014324773905218559,0.059775264917146714,0.0,5,7,0.3235294117647059,"Perrine, K.",outgoing
23,300,3,0.04747451058625016,0.07396651486150528,0.01981201103168796,7,7,0.3235294117647059,"Eagan, J.",outgoing
232,926,1,0.00467189292931727,0.051278531499996186,0.002195080767715427,7,7,0.3235294117647059,"Qu, H.",incoming
233,1319,2,0.00467189292931727,0.051278531499996186,0.002195080767715427,7,7,0.3235294117647059,"Zhou, H.",incoming
119,704,2,0.00454713448843524,0.05140672782874617,0.005853548713907806,8,7,0.3235294117647059,"Li, X.",outandin
20,1263,1,0.016446704601325277,0.06174982321771312,0.014652633158852553,9,7,0.3235294117647059,"Wong, P.C.",outgoing
26,1054,2,1.811339171395135e-42,0.008154943934760447,0.0,2,8,0.6,"Shi, K.",outandin
27,698,2,1.811339171395135e-42,0.008154943934760447,0.0,2,8,0.6,"Li, B.",incoming
191,587,2,1.811339171395135e-42,0.008154943934760447,0.0,2,8,0.6,"Kadaba, N.R.",outandin
192,677,2,1.811339171395135e-42,0.008154943934760447,0.0,2,8,0.6,"Leboe, J.",outandin
25,542,3,2.8285017780428886e-42,0.012232415902140673,7.504549633215136e-05,4,8,0.6,"Irani, P.P.",outandin
28,231,3,6.567960574534782e-37,0.009174311926605505,0.0,3,9,1.0,"Crow, V.",outandin
29,495,1,6.567960574534782e-37,0.009174311926605505,0.0,3,9,1.0,"Hetzler, E.",outgoing
30,882,2,6.567960574534782e-37,0.009174311926605505,0.0,3,9,1.0,"Payne, D.A.",outandin
31,1179,2,6.567960574534782e-37,0.009174311926605505,0.0,3,9,1.0,"Turner, A.E.",outandin
32,13,2,6.567960574534782e-37,0.009174311926605505,0.0,3,10,1.0,"Agutter, J.",
33,723,3,6.567960574534782e-37,0.009174311926605505,0.0,3,10,1.0,"Livnat, Y.",outandin
34,801,2,6.567960574534782e-37,0.009174311926605505,0.0,3,10,1.0,"Moon, S.",outandin
35,352,2,6.567960574534782e-37,0.009174311926605505,0.0,3,10,1.0,"Foresti, S.",outandin
36,131,1,1.5816422107424463e-50,0.0061162079510703364,0.0,2,11,1.0,"Brandes, U.",
37,692,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,11,1.0,"Lerner, J.",outandin
38,342,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,11,1.0,"Fleischer, D.",outandin
